NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062069581,2024,7,M,1,3,1,1,3,,0,2402006,Caicó,24,RN,H,A,F,F,2,B,B,A,B,B,A,B,B,A,A,A,A,A,A,B,A,B,A
210062069582,2024,5,F,1,3,1,1,3,,0,3170206,Uberlândia,31,MG,B,E,C,B,4,B,C,A,C,D,A,A,B,A,B,A,A,B,B,B,C,E,A
210062069583,2024,11,F,1,2,1,1,0,,0,1302603,Manaus,13,AM,B,D,A,A,4,A,C,A,C,D,B,A,B,A,A,B,A,B,A,A,B,E,B
210062069584,2024,3,F,1,1,1,2,0,1.0,0,2614105,Sertânia,26,PE,C,D,A,A,3,A,A,A,B,C,A,A,B,A,A,A,A,A,A,B,A,B,A
210062069585,2024,5,M,1,1,1,1,2,,0,4314407,Pelotas,43,RS,E,E,F,F,3,B,E,A,C,C,B,B,B,A,B,B,B,C,A,B,B,D,C
210062069586,2024,16,F,2,1,1,1,18,,0,3304557,Rio de Janeiro,33,RJ,C,B,F,C,4,A,C,A,B,C,A,A,B,A,B,B,A,B,A,B,B,D,A
210062069587,2024,11,M,1,3,2,2,0,,0,2927408,Salvador,29,BA,C,D,F,F,4,A,B,A,B,D,B,A,B,A,B,B,A,C,B,B,C,D,A
210062069588,2024,9,M,1,1,1,1,4,,0,3304557,Rio de Janeiro,33,RJ,G,G,E,E,1,A,B,A,B,C,A,A,B,A,B,A,A,B,A,B,A,B,B
210062069589,2024,7,F,1,1,1,1,5,,0,4314407,Pelotas,43,RS,E,E,C,B,5,B,F,A,C,C,B,A,B,A,A,B,B,D,A,B,B,E,A
210062069590,2024,14,M,1,2,1,1,18,,0,1100205,Porto Velho,11,RO,A,A,B,F,3,B,G,A,D,D,C,A,C,A,B,B,B,D,A,B,B,D,A
210062069591,2024,3,F,3,3,1,2,0,1.0,0,3541000,Praia Grande,35,SP,H,H,C,F,4,A,C,A,B,C,A,A,B,A,A,A,A,B,A,B,A,B,A
210062069592,2024,4,F,1,1,1,1,1,,0,3118601,Contagem,31,MG,G,F,E,E,3,A,K,A,C,C,C,A,B,A,B,B,B,B,B,B,D,E,D
210062069593,2024,13,M,2,2,1,1,1,,0,1600600,Santana,16,AP,D,B,C,B,6,A,B,A,C,C,B,A,B,A,A,A,A,B,A,B,B,D,A
210062069594,2024,1,F,1,3,1,3,0,,1,5220454,Senador Canedo,52,GO,H,E,A,B,4,B,B,A,B,C,A,B,B,A,A,A,A,B,A,B,A,D,A
210062069595,2024,15,M,2,2,1,1,18,,0,2927408,Salvador,29,BA,B,E,B,D,3,A,D,A,C,C,B,A,B,A,B,A,A,B,A,B,B,B,A
210062069596,2024,11,M,1,1,1,1,10,,0,3549904,São José dos Campos,35,SP,C,D,B,C,3,B,E,A,C,C,A,A,B,A,B,B,A,B,A,B,B,D,A
210062069597,2024,11,M,0,2,1,1,9,,0,4106902,Curitiba,41,PR,B,E,C,B,2,B,E,A,B,B,A,A,B,A,A,B,A,B,A,B,C,B,A
210062069598,2024,11,F,1,2,1,1,1,,0,4314902,Porto Alegre,43,RS,H,D,F,B,4,A,B,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,A
210062069599,2024,2,F,1,3,1,3,0,,1,1504422,Marituba,15,PA,F,E,B,B,4,A,C,A,B,C,A,A,B,A,A,A,A,B,A,A,B,D,A
210062069600,2024,3,M,1,3,1,2,0,,0,2914406,Iraquara,29,BA,B,B,A,A,3,A,B,A,B,C,A,A,B,A,A,A,A,B,A,B,B,C,A
210062069601,2024,4,F,1,3,1,1,2,,0,2704302,Maceió,27,AL,H,H,D,D,3,A,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,C,C
210062069602,2024,4,F,4,3,1,1,0,,0,2111201,São José de Ribamar,21,MA,E,B,B,A,5,A,B,A,B,C,A,A,B,A,A,A,A,A,A,A,A,D,A
210062069603,2024,8,M,1,1,1,1,6,,0,3511102,Catanduva,35,SP,E,F,C,B,2,B,D,A,B,C,C,B,B,A,B,B,A,B,A,B,B,C,A
210062069604,2024,7,M,1,5,1,1,5,,0,5106307,Paranatinga,51,MT,E,E,A,B,4,A,B,A,B,D,A,A,B,B,B,A,A,B,A,B,B,E,A
210062069605,2024,18,M,1,1,1,2,0,,0,3304557,Rio de Janeiro,33,RJ,C,B,C,B,1,B,B,A,B,B,A,A,A,A,A,B,A,B,A,A,A,B,A
210062069606,2024,9,M,1,3,1,1,7,,0,2611606,Recife,26,PE,H,H,F,F,2,B,D,A,B,C,A,A,B,A,A,A,A,B,A,B,B,C,D
210062069607,2024,6,F,1,1,1,2,0,,0,3148004,Patos de Minas,31,MG,D,D,F,B,9,B,E,A,B,D,A,A,B,A,B,B,A,B,A,B,A,E,A
210062069608,2024,10,F,1,1,1,1,6,,0,4106902,Curitiba,41,PR,H,H,F,D,2,B,D,A,B,D,B,A,B,A,B,B,A,B,B,B,B,C,A
210062069609,2024,4,F,1,1,1,1,2,,0,3151800,Poços de Caldas,31,MG,H,F,F,B,4,A,G,A,B,B,A,B,B,A,B,B,A,B,A,B,B,E,A
210062069610,2024,2,M,1,3,1,2,0,1.0,0,3552502,Suzano,35,SP,H,D,C,F,5,A,C,A,C,D,A,C,B,B,B,B,A,D,A,B,A,E,A
210062069611,2024,9,M,1,3,1,1,4,,0,1501402,Belém,15,PA,B,E,C,B,2,B,C,A,B,B,A,A,B,A,A,A,A,B,A,B,A,C,A
210062069612,2024,2,F,1,1,1,3,0,,1,3550308,São Paulo,35,SP,C,D,B,B,6,A,B,A,B,B,A,A,B,A,A,B,A,B,A,A,A,B,A
210062069613,2024,11,M,1,1,1,1,5,,0,3304557,Rio de Janeiro,33,RJ,E,E,C,B,2,B,C,A,B,C,A,A,B,A,B,B,A,B,A,B,C,C,A
210062069614,2024,1,M,1,3,1,3,0,,1,5003702,Dourados,50,MS,E,G,D,F,4,B,E,A,C,D,B,A,B,A,B,B,B,C,B,B,B,E,A
210062069615,2024,2,F,0,3,1,3,0,,1,3525904,Jundiaí,35,SP,C,E,B,F,5,A,C,A,B,C,A,A,B,B,B,B,A,B,B,B,A,D,A
210062069616,2024,2,M,1,3,1,3,0,,1,1600303,Macapá,16,AP,E,E,F,F,5,A,A,A,B,C,A,A,B,A,A,A,A,B,A,B,A,C,A
210062069617,2024,1,F,1,1,1,3,0,,1,4101408,Apucarana,41,PR,E,E,E,C,3,A,K,A,C,D,B,A,B,A,B,B,B,C,A,B,C,D,D
210062069618,2024,9,F,1,1,1,1,7,,0,3550308,São Paulo,35,SP,C,E,A,B,2,B,D,A,B,B,A,A,B,A,B,A,A,B,A,B,B,C,A
210062069619,2024,1,F,1,3,1,3,0,,1,3515509,Fernandópolis,35,SP,E,C,C,B,3,A,E,A,C,D,B,B,B,A,B,A,B,B,B,B,B,D,A
210062069620,2024,6,M,1,1,1,1,4,,0,2905701,Camaçari,29,BA,E,D,C,B,4,B,E,A,C,D,C,C,C,A,B,B,A,C,B,B,A,E,A
210062069621,2024,13,F,2,2,1,1,18,,0,3303401,Nova Friburgo,33,RJ,B,E,C,C,5,B,C,A,B,C,B,A,B,A,B,B,B,B,A,B,B,D,A
210062069622,2024,4,M,1,5,1,1,1,,0,5107909,Sinop,51,MT,E,E,F,F,1,A,A,A,B,B,B,B,B,B,A,A,A,B,A,A,A,B,A
